hour,day_of_week,month,load_consumption
6,0,12,66.85212212944062
19,1,4,117.66109036545498
14,5,12,130.22437422098193
10,6,2,65.21481637388325
7,1,1,37.92897661307312
20,3,3,118.14962330407673
6,4,11,91.95349808777502
18,2,2,104.98318870875123
22,2,1,121.7222247217529
10,3,1,68.906108171103
10,1,2,60.51927856037755
23,2,9,160.77093980516202
20,1,5,126.41930556965995
3,5,9,59.56765253215294
7,3,8,83.36491788814915
23,6,11,169.89849109964652
2,1,6,41.58683324738924
21,5,1,116.41463481547184
20,1,10,146.00618394075838
1,1,5,37.30957439075087
23,2,12,167.93510671724894
11,0,1,57.718221785734265
5,4,7,68.05219999658425
1,1,10,46.35301772018728
20,1,11,156.0913935187141
0,1,8,35.960961247293476
11,0,8,85.39915245889637
21,5,7,145.29857236052158
11,6,2,76.3352576491349
16,6,5,114.86122506621255
9,3,4,68.24663303170702
15,2,5,98.5618046325071
14,0,10,106.70912362931448
14,5,9,131.4942061517622
18,1,4,103.84952461755255
11,5,12,118.73316293823088
22,0,8,144.96260504880436
19,0,8,130.15053997791867
2,0,2,17.70696462108764
4,3,6,51.79648714076345
18,4,5,124.25773745619753
6,2,2,45.332608249891
20,3,12,155.70520582616243
8,3,10,81.19060714137785
6,4,4,55.66038138833376
17,3,7,116.26724918146272
3,0,1,15.664202249668367
13,0,9,101.1661161925848
17,5,10,141.7936807199831
8,1,12,99.90226375646203
20,3,1,110.31296810548093
1,1,12,59.87312817637575
19,2,5,122.52980012218919
14,6,7,122.47998835319895
6,0,8,64.88114359797812
11,5,2,72.95759286356842
7,2,4,48.384769853543844
14,5,2,94.55630849833753
2,6,4,41.35774501049805
13,6,6,102.09843127024702
16,4,6,109.6621114773346
3,0,12,63.80487748793578
17,2,2,106.53853849656683
7,4,11,88.95663827146979
3,6,4,51.95135155537661
1,2,4,26.488668248912038
5,5,1,37.55308955448304
21,4,2,128.67405671755208
9,4,3,63.52653977986314
3,0,11,59.108133152967824
21,1,5,126.29239792497347
17,5,11,148.46538717282846
11,5,8,96.70924503764657
1,4,6,42.9543495390098
9,4,3,64.8010129632565
3,0,6,36.444473938356076
13,1,7,77.82399886229949
15,5,6,124.46049285808954
14,6,10,130.75278466413116
7,3,6,64.16326257030917
13,3,1,72.37672155833503
22,1,3,122.52175623560329
7,2,7,72.58439767409726
20,0,4,106.53957537207538
15,1,12,125.29207790352831
12,3,4,93.85320936231336
17,4,7,119.33026832016098
14,3,9,115.40192519381827
20,4,11,167.01654907628878
23,0,2,126.16075814845387
12,4,9,108.62961910242727
8,1,3,57.53318227454501
14,4,6,103.99567332495148
12,2,4,88.4981564265172
0,1,1,5.00334988549894
6,0,9,56.20409195632011
8,1,11,85.0434844802977
23,2,6,140.16632735061648
0,0,8,30.594029939012852
11,3,2,70.70457970459685
7,2,7,74.98711599902454
23,0,6,142.47646363332194
10,6,2,77.31632743787698
18,4,2,109.98527294333702
16,1,4,93.70570995571003
7,0,4,40.094123811671615
2,1,3,25.565800056963916
2,4,8,57.97320601786829
0,0,7,27.458330583777055
4,3,2,34.3257283860665
9,6,3,77.32251082607107
6,6,10,87.58333899687827
8,2,9,90.4287209598698
6,0,5,56.16364171034142
8,4,2,64.79754028511665
7,0,3,50.78867057104952
11,1,8,83.54916292774271
1,5,4,39.314968510263
0,0,2,9.881629788232877
15,6,2,104.03212364195582
22,6,6,154.46304743406526
22,6,8,162.26381293924032
23,3,7,165.50433234774798
4,0,4,35.61907165024041
2,2,2,28.681686904146652
11,0,9,88.64505094867998
7,5,4,69.95320791943836
21,6,9,163.69659945116229
2,1,5,34.822130385676736
0,6,12,74.3462347118825
2,0,12,53.578619818197915
4,3,11,70.5638952916589
14,4,11,127.06190043011745
13,0,7,97.40403426742111
2,0,12,58.89714760647467
0,2,5,32.42879518255283
4,3,2,33.691550645168405
22,5,6,143.29710755255724
13,4,7,106.54064168268252
6,6,11,91.61409861943152
8,1,6,69.7143186017911
14,0,3,81.86298854566748
14,5,10,123.29990104688271
9,4,8,88.62531214138139
12,1,3,75.14424447396593
18,5,5,123.47509350075835
6,3,9,73.98433976838285
16,3,11,130.98203331506545
19,4,5,131.28332559934702
3,6,7,61.970105022529
4,1,11,78.28376236084384
22,3,7,147.8035227563923
6,4,5,59.245712648356694
12,3,2,90.35337687431533
14,3,5,101.06813188857167
10,5,7,97.95062393446409
3,5,7,60.96051491601246
12,3,4,88.11505514648874
6,2,1,42.678270256762374
18,5,6,123.48957717611967
21,1,3,121.83764523780707
1,4,11,54.37569348074881
9,4,5,76.12818581793732
12,6,4,90.37191271718356
20,1,2,112.78735092924362
5,1,12,77.67063123669118
11,1,7,88.40572945382593
11,6,5,94.43648286374544
19,1,7,122.96587329106801
10,0,9,84.6949825532416
22,6,4,148.60198080627242
6,4,5,67.339283386472
0,0,9,30.26608450686725
0,6,10,50.34536183743677
19,3,11,144.36555308397644
12,3,4,90.22603791016125
8,4,5,78.07442015091517
2,3,5,34.37644059799414
6,1,8,66.53654676868169
5,6,4,68.17215666570044
7,0,4,53.07655738620167
8,1,7,78.10751642616546
4,3,11,77.9936328504155
0,5,5,30.449006468860446
18,0,6,113.0500928825146
9,1,6,72.17377239145924
11,6,12,121.5206669401067
23,4,6,155.58164476719287
14,1,10,115.04342381137704
21,5,5,125.31899528110942
23,3,5,137.43579863453638
8,0,9,65.06309542511978
19,4,8,139.87682620327666
16,0,4,97.2024382473388
16,4,7,121.4161247930536
19,6,8,140.2053586614269
11,0,12,106.37072002559995
6,3,9,78.58131248234264
1,6,5,36.72425466397421
2,6,3,32.66980899275564
16,4,4,107.9993415688653
4,2,10,74.9589113680668
16,0,6,112.49871371099321
23,0,10,157.81702180224028
16,1,11,123.35001664209962
16,4,5,116.43421329744292
1,5,9,53.73787867595479
1,2,11,51.162464816630944
21,3,11,147.28016584189004
22,1,3,125.51191099173826
4,2,2,30.850663254313126
0,4,6,36.482151897642524
0,2,7,22.503211518814695
18,6,5,128.84913336291842
1,0,1,-3.15560581985814
20,6,3,135.43970126634275
11,0,3,69.60945617067543
5,1,12,74.60667614287706
22,4,4,140.8135993004104
3,4,10,62.109628686682235
22,2,6,140.36187757807446
10,1,5,76.97387019230167
23,4,1,115.52855375454305
16,5,6,116.76387820161239
5,5,9,75.88677934931813
23,6,11,176.01853191127117
4,0,1,31.285509131137026
19,2,8,127.38049437538558
1,3,8,42.89420378277386
5,0,3,27.42065486845776
21,1,9,151.55143325636573
10,4,11,104.768549286956
15,0,11,116.80795555981646
15,3,8,115.73758658844643
0,3,3,24.18117914215162
8,5,10,96.73681701758062
5,1,5,61.239421067785436
15,0,3,89.26967944201887
2,2,5,33.67377285415459
19,0,9,128.19321631238026
3,5,12,76.03620523791595
18,6,4,116.4908153768508
2,3,6,43.19932103745793
18,1,3,108.91734053104459
19,1,3,106.93318199688382
6,2,5,51.96309971857944
19,1,8,137.57972573147117
8,5,8,79.86758421689417
0,5,3,16.660908117613495
7,5,8,76.23549028176309
6,1,11,69.29783641437852
17,1,8,121.93113032052291
7,5,3,60.196477497752134
0,1,10,41.901564774880804
10,1,10,98.76467088487387
17,3,2,98.54332569418612
22,0,10,153.8754470587282
9,4,2,72.55661399601601
2,1,9,46.7216875099317
6,4,7,73.68511427778157
15,6,6,115.7909104373551
15,4,7,119.62049064420394
19,3,8,128.14255406211862
16,1,12,122.77243877437327
1,5,1,22.043661425462297
0,4,8,39.55537595470115
15,1,3,87.41645445285057
11,2,3,71.9023670877643
4,6,6,65.60006765918126
4,5,4,48.96169710717032
22,2,4,127.88069344688456
8,2,4,60.242433116205504
8,4,10,88.15427360096692
2,2,9,47.329972489686426
18,3,8,122.93491593211516
15,3,3,96.34739058110539
15,4,1,88.15647146701474
2,1,1,21.831393696173357
19,0,1,91.7630195397053
23,1,4,131.2895822247606
21,1,6,141.06453610329373
23,1,4,129.30195241451077
0,1,11,45.81733373951938
23,5,11,167.92078008587316
19,0,3,100.2578624360951
10,5,8,104.73655491543839
16,2,8,118.85519746318573
7,6,6,77.66839419118811
3,1,9,45.51841882441889
5,6,12,92.79370694054151
7,3,10,89.78710972996913
19,4,1,116.74738530414265
2,4,8,57.341666148030804
15,5,6,108.35257211202298
2,5,1,30.56561708596496
17,3,4,113.33792480238304
13,1,5,79.02778207455549
17,6,7,125.39360204259107
1,6,8,59.44078660871721
21,0,9,145.38022888335965
2,2,12,56.25708483189304
15,4,12,138.97510729634587
8,2,6,70.4765169957681
3,0,10,58.905044773035755
0,5,9,47.827393382830294
3,6,4,52.22591748240451
0,4,8,48.21914387242812
13,2,3,81.24332532272145
20,5,4,131.08876273086642
15,0,10,111.75739185247673
19,2,4,125.2581947434294
23,6,6,156.39864030337117
7,1,9,69.38987837411409
6,5,6,65.42087043062625
2,0,1,14.633853005710566
16,2,5,109.76665585889106
0,6,9,47.320865774247395
15,1,5,107.23830001471225
11,1,6,83.54337647027808
18,0,3,104.33227986484707
21,3,8,145.51405228088282
22,6,10,168.09629483675562
21,6,11,166.25858431036298
13,4,4,98.08897984517981
5,0,4,40.960357062733145
5,1,11,75.83525109246355
12,1,12,108.83076238323714
18,0,5,110.97820264156158
21,3,10,149.9803982788029
7,4,9,89.08264116274769
1,2,8,38.83126379640442
20,0,7,126.37510277869337
0,4,5,30.425197937726274
14,6,9,122.23024306163116
0,4,9,51.61247884721469
4,5,10,73.41671117631678
15,1,10,124.96962265270537
18,2,2,99.90762456934915
3,0,4,31.846887349713533
2,1,8,41.121070053437
16,5,1,101.10486391265734
16,5,5,114.92025136511614
11,1,8,89.2246897765076
13,3,2,87.94237483251761
20,4,2,116.72829064472448
5,0,8,59.93257578809
2,0,10,46.15520043662604
8,0,12,88.56342600080187
4,1,9,53.02212335888277
23,6,7,157.68741426846628
16,3,8,120.58928477213567
13,2,5,100.07324583661538
20,5,1,119.50401935229887
2,1,4,37.27334157933353
0,6,2,27.10161645845459
19,2,3,111.0645787776253
20,5,12,170.69678261300348
22,5,3,139.1850881103671
0,3,9,41.786392030586434
2,4,10,64.35285729700149
17,0,4,99.53702625046195
9,2,2,49.05482901914352
21,1,3,124.67986579632809
2,2,3,33.47467027820964
7,4,7,84.18971014996137
13,0,8,99.11071846097632
23,2,11,163.75638287958733
17,4,6,125.17494713689292
14,1,4,93.24910182659453
21,3,6,146.1914059156821
22,6,11,171.7768618846678
1,5,1,23.172105137162028
9,1,10,84.42227790120737
1,0,8,39.68731043362601
16,5,1,91.25869165884582
7,6,5,76.88043686431283
0,1,2,13.939175609328949
8,1,6,69.92535101229186
10,1,9,89.69112618250921
21,1,5,135.6648912376554
15,5,4,110.35996732713431
6,0,2,34.9646140431215
9,6,12,108.05410475151177
22,4,3,129.6016309329268
2,2,6,42.756416663877935
17,3,8,120.99930539380021
23,6,8,170.41696071791677
12,2,5,92.61486654172772
6,2,5,51.604918655247744
3,3,10,63.07225732703573
12,6,3,90.08310490681207
19,5,7,142.41991580234833
0,0,6,32.04671687804938
7,3,1,39.57253803565711
13,0,4,79.40909641236658
15,5,6,112.66991652219826
13,2,11,107.99665072556726
11,0,6,76.57444990347969
18,5,11,151.13884472175306
22,5,12,171.60660548580222
14,4,12,122.27689415696292
1,3,3,40.37041349004957
1,4,6,42.3308893260209
22,2,12,164.55847065053337
21,3,10,148.51036818466477
18,2,6,121.30353080985638
21,4,12,164.17893107979253
21,6,9,149.55738293642298
16,5,9,125.64872279992792
19,2,2,112.97463008836972
9,3,4,79.7200882500022
5,3,9,71.83582702521522
14,2,4,97.51541639146683
21,3,8,145.22122345708394
10,5,10,104.56726919659698
4,6,12,91.45489513809733
0,5,3,35.313886445897346
7,3,3,62.505483467328105
20,2,9,136.66818462307592
11,4,11,110.66520554842377
11,3,10,105.38762342238148
4,3,8,59.70161018246235
6,3,1,44.93928771707798
3,3,10,68.10288405834474
5,2,2,44.014048759775704
12,4,3,92.42935076110761
19,4,11,149.35279447637583
14,0,2,71.17983417580344
2,3,3,32.79117297007227
22,3,8,160.419055155924
7,0,11,76.61512070022971
19,4,11,154.4342348853186
15,1,12,129.47872896236322
12,5,6,99.95721023672304
17,1,7,116.03462360521857
9,4,10,92.38285397139303
18,6,10,136.5916896378971
16,3,6,107.44074646667985
23,1,1,120.0484792544415
18,2,11,145.48711343711352
22,2,3,127.48435968824312
4,0,1,21.404871405409256
20,4,12,155.54507279023284
22,4,10,165.2840291425474
8,1,12,97.79178583215302
11,3,9,105.3171786093373
20,4,9,151.03074849879235
0,1,5,15.6219362680853
0,1,4,17.241628785781142
14,5,12,142.73652114444837
1,5,9,61.60975245957612
21,4,9,145.31248390882638
15,1,3,89.72204738400364
7,0,5,56.815492163305194
12,0,3,68.1892076848689
20,5,10,143.45397989295574
0,4,2,20.49412022508216
15,3,1,84.0612087118978
6,6,12,92.08079130457658
4,0,10,58.22659820034621
21,0,2,112.33162042672595
22,5,8,156.95458602952158
2,5,11,64.58005050538999
11,4,8,97.8989523518296
15,5,3,93.21288314798622
18,2,7,125.55519532684039
4,6,7,51.71862293329421
21,1,2,114.5525495978319
13,0,9,105.59593076838476
4,2,3,32.70329656362587
14,3,2,90.582151018287
16,2,12,139.77866356060446
13,4,3,72.46050023751306
19,3,2,111.24318548212129
4,3,8,46.62113286185863
11,5,5,89.40895777214527
15,2,3,92.96414394509337
15,4,5,94.58728007044581
20,0,11,153.62419181039934
6,6,11,93.43007903817312
3,5,8,57.754882839589825
0,2,7,41.326897137492594
4,0,6,35.02193389678842
22,2,1,113.85414483240841
9,5,10,88.5027223816505
21,0,1,118.00522598269667
4,5,1,40.66173185736002
3,2,10,64.29700894924247
1,3,8,47.50500616959238
19,6,8,147.86883880572293
9,1,7,76.39038856947995
18,6,6,133.3546067135372
0,3,4,25.538017181114753
23,5,1,130.9570409721536
4,6,9,73.76687617392665
12,5,1,80.36797286630839
3,5,4,46.552745597760655
15,0,3,79.61113946123342
23,4,7,148.27506665695796
15,5,5,115.41420716958196
22,6,5,146.465029770583
1,6,4,41.9236267351797
16,6,1,96.53940045138802
19,3,5,116.63427061676735
23,1,4,129.78201693734144
11,5,10,108.88717464614294
17,5,8,128.67429850357794
2,5,2,39.46966761552857
0,0,8,32.89761650768731
0,5,1,28.244693092809293
18,3,4,117.02204077035708
10,2,3,55.93724591040095
4,4,5,57.28020803229278
11,6,5,85.45224188765023
2,5,5,46.15266833605669
0,0,12,44.126579711680776
0,3,4,35.71355517232093
7,5,8,89.19798963715067
9,0,3,53.29089679149121
10,2,12,103.36321165939444
11,1,4,75.22299034824609
12,5,1,83.31707035780805
11,3,7,92.14575956162507
13,0,1,63.875525503095666
1,0,2,9.412206803999736
18,5,11,148.97759101811604
17,0,7,119.17228489382346
2,1,1,19.13918930268022
22,0,11,150.13292536692492
16,6,3,113.24186388854895
7,4,6,69.0650758056092
